Sign Name,Confidence,Bounding Box
Speed Limit 110,0.86,"[[72.79741668701172, 186.135498046875, 90.01644897460938, 217.5562286376953]]"
Speed Limit 120,0.32,"[[72.33626556396484, 186.04638671875, 90.13358306884766, 216.7981719970703]]"
Speed Limit 50,0.86,"[[51.88349151611328, 197.00640869140625, 62.35081481933594, 218.18600463867188]]"
Speed Limit 110,0.40,"[[51.67433547973633, 176.55538940429688, 69.24186706542969, 214.4915313720703]]"
Speed Limit 120,0.26,"[[51.17613220214844, 176.91354370117188, 69.23125457763672, 213.51036071777344]]"
Speed Limit 50,0.84,"[[34.16577911376953, 190.0333251953125, 44.29759979248047, 213.65228271484375]]"
Speed Limit 50,0.40,"[[23.24364471435547, 186.3931427001953, 32.467384338378906, 211.11215209960938]]"
Speed Limit 110,0.39,"[[125.29570770263672, 207.6985626220703, 137.32752990722656, 224.7359161376953]]"
Speed Limit 120,0.31,"[[125.58873748779297, 207.4969482421875, 137.12388610839844, 224.97100830078125]]"
Speed Limit 120,0.65,"[[118.8125, 204.89126586914062, 131.237060546875, 223.93955993652344]]"
Speed Limit 110,0.63,"[[98.4075927734375, 196.61758422851562, 113.91412353515625, 221.25204467773438]]"
Speed Limit 120,0.67,"[[84.46167755126953, 190.77987670898438, 101.22286224365234, 219.7322540283203]]"
Speed Limit 80,0.28,"[[84.51686096191406, 190.6936492919922, 101.04002380371094, 219.62757873535156]]"
Red Light,0.30,"[[124.7557601928711, 199.60633850097656, 128.350830078125, 202.3616943359375]]"
Speed Limit 110,0.67,"[[66.59030151367188, 182.46575927734375, 83.82537841796875, 216.02041625976562]]"
Speed Limit 80,0.42,"[[282.540771484375, 218.61697387695312, 288.5238952636719, 226.75613403320312]]"
Red Light,0.29,"[[140.05809020996094, 199.5089569091797, 143.683349609375, 202.1798095703125]]"
Red Light,0.29,"[[150.54196166992188, 199.6163330078125, 154.3284454345703, 202.38661193847656]]"
Green Light,0.73,"[[234.41802978515625, 156.28639221191406, 243.23182678222656, 162.02435302734375]]"
Green Light,0.51,"[[192.45431518554688, 148.85377502441406, 202.24996948242188, 155.13214111328125]]"
Red Light,0.30,"[[167.52528381347656, 198.8211212158203, 171.47891235351562, 201.43605041503906]]"
Red Light,0.31,"[[167.5218048095703, 198.84922790527344, 171.46469116210938, 201.4390411376953]]"
Green Light,0.75,"[[199.5970916748047, 134.48768615722656, 211.61907958984375, 141.9092559814453]]"
Green Light,0.67,"[[247.1247100830078, 143.60923767089844, 259.23492431640625, 150.87197875976562]]"
Green Light,0.78,"[[219.89486694335938, 85.45490264892578, 236.63836669921875, 96.12123107910156]]"
Green Light,0.75,"[[288.0540466308594, 103.33747863769531, 302.40484619140625, 112.45588684082031]]"
Green Light,0.81,"[[223.47312927246094, 66.22616577148438, 242.5121307373047, 79.74537658691406]]"
Green Light,0.40,"[[298.8232116699219, 91.4582290649414, 313.48455810546875, 102.14625549316406]]"
Red Light,0.31,"[[240.8726806640625, 188.0031280517578, 245.61009216308594, 192.7766571044922]]"
Speed Limit 50,0.46,"[[274.9596252441406, 203.0614776611328, 280.8750915527344, 224.62351989746094]]"
